model,max_length,max_length_output,epoch,batch,lr,random_seed,gradient_accumulation_steps,label_smoothing,ckpt
facebook/bart-base,128,32,3,64,0.0001,1,2,0.15,lmqg-bart-base-squad-no-paragraph
facebook/bart-base,512,32,7,32,0.0001,1,8,0.15,lmqg-bart-base-squad
facebook/bart-base,512,32,4,32,0.0001,1,8,0.15,lmqg-bart-base-squad-no-answer
facebook/bart-base,512,32,10,32,1.25e-05,1,1,0.1,lmqg-bart-base-squad-default
facebook/bart-large,128,32,8,32,5e-05,1,16,0.15,lmqg-bart-large-squad-no-paragraph
facebook/bart-large,512,32,4,32,5e-05,1,4,0.15,lmqg-bart-large-squad-no-answer
facebook/bart-large,512,32,10,8,1.25e-05,1,4,0.1,lmqg-bart-large-squad-default
facebook/bart-large,512,32,4,32,5e-05,1,4,0.15,lmqg-bart-large-squad
t5-base,512,32,10,32,1.25e-05,1,2,0.1,lmqg-t5-base-squad-default
t5-base,512,32,5,16,0.0001,1,4,0.15,lmqg-t5-base-squad
t5-base,128,32,8,64,0.0001,1,1,0.15,lmqg-t5-base-squad-no-paragraph
t5-base,512,32,8,16,0.0001,1,4,0.15,lmqg-t5-base-squad-no-answer
t5-large,512,32,7,16,5e-05,1,4,0.15,lmqg-t5-large-squad-no-answer
t5-large,512,32,6,16,5e-05,1,4,0.15,lmqg-t5-large-squad
t5-large,128,32,6,16,5e-05,1,4,0.15,lmqg-t5-large-squad-no-paragraph
t5-large,512,32,10,1,1.25e-05,1,32,0.1,lmqg-t5-large-squad-default
t5-small,512,32,9,64,0.0001,1,1,0.15,lmqg-t5-small-squad
t5-small,128,32,8,64,0.0001,1,1,0.15,lmqg-t5-small-squad-no-paragraph
t5-small,512,32,7,64,0.0001,1,4,0.15,lmqg-t5-small-squad-no-answer
t5-small,512,32,10,32,1.25e-05,1,1,0.1,lmqg-t5-small-squad-default
