Model,Model Size,Model Input (Train),Model Input (Test),BLEU 4,ROUGE L,METEOR,BERTScore,MoverScore,BLEU 4 (answer-level),ROUGE L (answer-level),METEOR (answer-level),BERTScore (answer-level),MoverScore (answer-level)
BART (BASE),140,paragraph+answer,paragraph+answer,24.6842016024829,52.65935194632172,26.054388074278158,90.87148593157369,64.47365106624862,20.243812842079034,49.160599753395665,24.04742930226341,90.62145921360354,64.2027806945151
BART (LARGE),400,paragraph+answer,paragraph+answer,26.168385362299556,53.84959163821219,27.073122286541956,91.00413219045603,64.99011626820898,21.75006443069832,50.48846307368889,25.127931898892996,90.78085479576139,64.80376903024519
T5 (SMALL),60,paragraph+answer,paragraph+answer,24.39877627990363,51.43371946611934,25.835963716033643,90.44516348043122,63.885229330620255,19.7369294400291,47.77178735535678,23.57740550207323,90.19755928707292,63.623545040853
T5 (BASE),220,paragraph+answer,paragraph+answer,26.126737057730466,53.33307073897507,26.96865032666546,90.8389639107133,64.74283290606829,21.596375310342957,49.87882073805194,24.97186904511465,90.59482368343335,64.52400523056308
T5 (LARGE),770,paragraph+answer,paragraph+answer,27.214845793535442,54.132158826937136,27.69538809070124,90.99698595823614,65.29244188747067,22.69089971193654,50.876765141718884,25.66433336761717,90.76413288254564,65.06232835911085
BART (BASE),140,paragraph+answer (default),paragraph+answer (default),24.400683975723286,52.48717762722197,25.985179074924762,90.86545639846673,64.4778282518877,19.9670423179855,49.097633221422484,24.02234356348836,90.63423149230616,64.2171516703163
BART (LARGE),400,paragraph+answer (default),paragraph+answer (default),23.944690755311623,52.20011566462542,25.91379167442614,90.94890330885092,64.41548455058961,19.921165176548612,49.11408001752586,24.15809607067177,90.73437631827788,64.30450359087388
T5 (SMALL),60,paragraph+answer (default),paragraph+answer (default),22.66718077651334,49.53920093132268,24.67572879339808,90.16671782685415,63.0633217445346,18.001360897655296,45.72427690531089,22.35473922982981,89.8974102234172,62.76654854753184
T5 (BASE),220,paragraph+answer (default),paragraph+answer (default),25.4105108946843,52.751199908603276,26.577072291197325,90.73535165403955,64.46259221702616,20.988315539620665,49.38716443691119,24.637673386772267,90.51373641408834,64.30121885644992
T5 (LARGE),770,paragraph+answer (default),paragraph+answer (default),27.032903376561222,53.98000647237089,27.71261004327334,90.92444396850507,65.20566866508565,22.57477837762602,50.66875726077185,25.69136247882508,90.70197682574592,65.01220767110738
BART (BASE),140,paragraph+sentence,paragraph+sentence,21.96802868921128,49.69587276001563,23.715466422245665,90.37814976684459,63.07014769529157,17.405775888064117,45.82492500569481,21.526782645073062,90.2105886902865,62.94449546199221
BART (LARGE),400,paragraph+sentence,paragraph+sentence,23.46836480646678,50.2469628300384,24.936501492606215,90.28045036888811,63.282872409527236,17.854163897119218,45.122954313396484,21.88383319130062,89.99016191749206,62.90793481209369
T5 (SMALL),60,paragraph+sentence,paragraph+sentence,21.121852916203583,47.46967055057577,23.384596803152295,89.64476409584947,62.07232474685432,15.791277890292585,42.21907969546454,20.287378099174948,89.34967277165845,61.660637226910076
T5 (BASE),220,paragraph+sentence,paragraph+sentence,22.859099989926428,49.5068954795482,24.524270363216242,90.0333419710989,62.98855857720708,17.398295974999197,44.446070925222344,21.49407765935174,89.74996699451387,62.58506528753398
T5 (LARGE),770,paragraph+sentence,paragraph+sentence,24.274186444873784,51.30130898459896,25.669800693629497,90.41203384254614,63.96620795786805,19.701556230908768,47.500633997558204,23.43170336427474,90.2298194260833,63.79686031281055
BART (BASE),140,sentence+answer,sentence+answer,23.861465916541718,51.42752621919274,25.181496506572948,90.70136075591869,63.84645408685703,19.376642403631394,47.78740445417078,23.137104841320795,90.42144786772567,63.52737360649393
BART (LARGE),400,sentence+answer,sentence+answer,23.861465916541718,51.42752621919274,25.181496506572948,90.70136092258231,63.84645408685703,19.376642403631394,47.78740445417078,23.137104841320795,90.42144769609321,63.52737360649393
T5 (SMALL),60,sentence+answer,sentence+answer,23.23410628068291,50.177845633582194,24.803004691027773,90.35977943342849,63.18028738243845,18.703549320898357,46.42678539917087,22.615973164974985,90.07869142820371,62.885251268621445
T5 (BASE),220,sentence+answer,sentence+answer,24.333113204169607,51.80594839370757,25.81450886886534,90.7275978890228,64.00353625885768,20.094257106842882,48.364626718042786,23.82594621638513,90.47412066444801,63.81082600832797
T5 (LARGE),770,sentence+answer,sentence+answer,25.360460060884137,52.53010159135093,26.280710288012866,90.8802768433947,64.43595152739033,20.99380098731638,49.15940043856977,24.3282097286283,90.6138200330104,64.27156948592183
