model,epoch,lr,label_smoothing,batch
t5-small-squad-qg,9,0.0001,0.15,64
t5-small-squad-ae,7,0.0001,0.15,64
t5-small-squad-qag,18,0.0001,0.0,64
t5-small-squad-qg-ae,7,0.0001,0.15,64
t5-base-squad-qg,5,0.0001,0.15,64
t5-base-squad-ae,8,0.0001,0.0,64
t5-base-squad-qag,17,0.0001,0.15,64
t5-base-squad-qg-ae,6,0.0001,0.15,128
t5-large-squad-qg,6,5e-05,0.15,64
t5-large-squad-ae,9,0.0001,0.0,128
t5-large-squad-qag,12,0.0001,0.15,64
t5-large-squad-qg-ae,3,0.0001,0.15,64
bart-base-squad-qg,7,0.0001,0.15,256
bart-base-squad-ae,4,5e-05,0.15,64
bart-base-squad-qag,2,1e-05,0.15,128
bart-base-squad-qg-ae,3,5e-05,0.15,128
bart-large-squad-qg,4,5e-05,0.15,128
bart-large-squad-ae,5,5e-05,0.15,64
bart-large-squad-qag,14,1e-05,0.15,64
bart-large-squad-qg-ae,6,1e-05,0.15,64
