language,size,model,type
en,4.889666529435982,reference,reference
de,4.649789029535865,reference,reference
es,1.2837017245567162,reference,reference
fr,1.3222729158025714,reference,reference
it,3.8274647887323945,reference,reference
ja,1.2914754098360657,reference,reference
ko,1.2980639351643404,reference,reference
ru,1.2536718944485934,reference,reference
en,4.229209764170459,t5-small,pipeline
en,4.264049586776859,t5-base,pipeline
en,4.261659100288898,t5-large,pipeline
en,4.136119155978486,bart-base,pipeline
en,4.20527617477329,bart-large,pipeline
en,4.21602643535729,flan-t5-small,pipeline
en,4.25103220478943,flan-t5-base,pipeline
de,10.082978723404254,mt5-small,pipeline
de,8.3585313174946,mt5-base,pipeline
de,0.0,mbart-large-cc25,pipeline
es,4.6397560975609755,mt5-small,pipeline
es,4.755320442660829,mt5-base,pipeline
es,4.728148238449347,mbart-large-cc25,pipeline
fr,4.938622129436325,mt5-small,pipeline
fr,3.571234119782214,mt5-base,pipeline
fr,5.355777223607648,mbart-large-cc25,pipeline
it,4.708565636087177,mt5-small,pipeline
it,4.628484541307653,mt5-base,pipeline
it,2.453740157480315,mbart-large-cc25,pipeline
ja,6.616923581502132,mt5-small,pipeline
ja,6.763201049524434,mt5-base,pipeline
ja,3.601424694708277,mbart-large-cc25,pipeline
ko,6.678531200720883,mt5-small,pipeline
ko,6.294347426470588,mt5-base,pipeline
ko,6.687162162162162,mbart-large-cc25,pipeline
ru,4.844461115278819,mt5-small,pipeline
ru,4.902524368907773,mt5-base,pipeline
ru,4.695152423788106,mbart-large-cc25,pipeline
